Reference Body,Name,LAN,AOP,SMA,Inclination,Eccentricity,Mass,Radius
K2-266,K2-266 e,146.3,13.1,1868477405.043,-0.55,0.043000,8.53968687e+23,1744404.8
WASP-147,WASP-147 b,358.6,6.4,821292310.143,-2.10,0.000000,5.2198575e+24,7971358.0
WASP-160 B,WASP-160 B b,164.8,2.0,676182375.564,-1.03,0.000000,5.276801400000001e+24,7792628.000000001
WASP-164,WASP-164 b,199.8,10.0,421566799.6326,-7.27,0.000000,4.0430169e+25,8064297.6
WASP-165,WASP-165 b,275.3,0.9,721510530.3861,-5.10,0.000000,1.2489695400000001e+25,9007992.0
K2-263,K2-263 b,90.2,2.5,3849153213.1109996,-0.76,0.140000,8.83959141e+23,1537078.0
HD 39091,pi Men c,72.9,3.0,1023099837.7173,-2.54,0.000000,2.8794632099999997e+23,1301154.4
Kepler-1654,Kepler-1654 b,359.6,2.8,30308528603.819996,-0.02,0.260000,9.49065e+24,5855194.8
KPS-1,KPS-1 b,131.5,13.0,402418272.183,-6.80,0.000000,2.0689617e+25,7363676.0
HATS-43,HATS-43 b,90.2,9.5,739611872.7408,-0.76,0.173000,4.9541193e+24,8436056.0
HATS-44,HATS-44 b,151.7,2.2,545882630.1843001,-5.35,0.279000,1.0629528e+25,7628196.399999999
HATS-45,HATS-45 b,209.1,9.1,824433865.4277,-4.39,0.240000,1.3286909999999998e+25,9193871.200000001
HATS-46,HATS-46 b,171.1,10.5,802891772.0469,-2.68,0.559000,3.2837648999999996e+24,6455727.600000001
HATS-7,HATS-7 b,171.7,11.3,600186657.2484001,-2.08,0.170000,2.2777559999999999e+24,4024999.5999999996
HD 89345,HD 89345 b,183.7,9.4,1594713301.662,-2.79,0.220000,2.087943e+24,4718472.0
Kepler-1656,Kepler-1656 b,100.7,8.0,2947078052.79,-0.69,0.836000,2.9024305829999997e+24,3202841.6
WASP-144,WASP-144 b,32.0,10.4,472729271.41200006,-3.10,0.000000,8.351772e+24,6076820.0
WASP-145 A,WASP-145 A b,61.9,3.6,390450442.527,-6.70,0.000000,1.6893357e+25,6434280.0
WASP-158,WASP-158 b,37.3,1.0,773420991.519,-2.30,0.000000,5.2957827e+25,7649644.0
WASP-159,WASP-159 b,41.2,6.9,804836544.366,-1.90,0.000000,1.0439715e+25,9865896.0
WASP-162,WASP-162 b,24.9,14.4,1302997453.797,-0.70,0.434000,9.870276e+25,7149200.0
WASP-168,WASP-168 b,306.7,13.4,776412948.933,-5.60,0.000000,7.972145999999999e+24,10723800.0
WASP-172,WASP-172 b,351.9,13.1,1038209222.658,-3.30,0.000000,8.921210999999999e+24,11224244.0
