Reference Body,Name,LAN,AOP,SMA,Inclination,Eccentricity,Mass,Radius
HD 45350,HD 45350 b,158.0,2.3,28722791174.399998,,0.778000,3.3976527e+25,
HD 45652,HD 45652 b,122.3,7.8,3545469535.5899997,,0.607000,8.2189029e+24,
HD 46375,HD 46375 b,224.7,6.6,595399525.386,,0.063000,4.2897738e+24,
HD 47186,HD 47186 b,198.1,0.5,747989353.5,,0.040000,1.328691e+24,
HD 47186,HD 47186 c,260.8,4.0,35828690032.65,,0.249000,6.655033592999999e+24,
HD 47536,HD 47536 b,248.8,11.0,28872389045.1,,0.200000,1.38943116e+26,
HD 48265,HD 48265 b,241.1,9.4,27137053744.98,,0.211000,2.89464825e+25,
HD 49674,HD 49674 b,125.5,14.6,897587224.1999999,,0.090000,1.89813e+24,
HD 50499,HD 50499 b,148.1,2.6,57340863839.310005,,0.266000,3.1053406799999996e+25,
HD 50554,HD 50554 b,246.8,5.2,35200378975.71001,,0.501000,9.403336019999999e+25,
HD 52265,HD 52265 b,266.6,6.1,7779089276.400001,,0.270000,2.2967372999999997e+25,
HD 60532,HD 60532 b,112.7,2.1,11519036043.9,,0.260000,2.0120178e+25,
HD 60532,HD 60532 c,155.2,3.5,23935659312.0,,0.030000,4.7643063e+25,
HD 62509,HD 62509 b,300.7,4.6,24534050794.8,,0.020000,4.365698999999999e+25,
HD 63454,HD 63454 b,319.0,13.3,598391482.8000001,,0.000000,4.745325e+24,
HD 63765,HD 63765 b,153.9,2.0,14062199845.8,,0.240000,1.0060089e+25,
HD 65216,HD 65216 b,108.5,8.4,19462682978.07,,0.270000,2.45807835e+25,
HD 65216,HD 65216 c,249.6,6.6,86018775652.5,,0.170000,3.8532038999999996e+25,
HD 66141,HD 66141 b,93.8,3.3,17951744484.0,,0.070000,1.138878e+26,
HD 66428,HD 66428 b,136.4,6.9,51865581771.69,,0.493000,6.081608520000001e+25,
HD 67087,HD 67087 b,10.3,8.4,16156570035.6,,0.170000,5.8082778e+25,
HD 67087,HD 67087 c,68.5,3.6,57744778090.2,,0.760000,9.205930499999999e+25,
HD 68988,HD 68988 b,139.6,9.5,1047185094.9000001,,0.120000,3.7393161e+25,
HD 69830,HD 69830 b,261.7,14.7,1174343284.9950001,,0.100000,6.0929973e+23,
HD 69830,HD 69830 c,95.2,2.8,2782520395.02,,0.130000,7.0420623e+23,
HD 69830,HD 69830 d,55.3,9.5,9424665854.1,,0.070000,1.0819341e+24,
HD 70573,HD 70573 b,96.9,7.7,26329225243.2,,0.400000,1.1578593e+26,
HD 70642,HD 70642 b,92.6,2.2,49636573498.26,,0.175000,3.78297309e+25,
HD 72659,HD 72659 b,177.6,10.9,71058988582.5,,0.220000,7.3078005e+25,
HD 73267,HD 73267 b,36.2,13.8,32717054322.089996,,0.230000,5.87850861e+25,
HD 73526,HD 73526 b,0.4,12.8,9723861595.5,,0.190000,5.8462404e+25,
HD 73526,HD 73526 c,238.8,4.4,15408580682.1,,0.280000,4.2707925e+25,
HD 73534,HD 73534 b,345.8,7.5,44729763339.3,,0.126000,2.1107205600000002e+25,
HD 74156,HD 74156 b,348.2,9.8,4368257824.44,,0.627000,3.416634e+25,
HD 74156,HD 74156 c,221.0,3.6,57595180219.5,,0.432000,1.52989278e+26,
HD 75289,HD 75289 b,316.7,10.7,747989353.5,,0.030000,9.300837e+24,
HD 75784,HD 75784 b,256.1,10.6,15438500256.24,,0.097000,1.89813e+25,
